China=大陸_,#genre#
Now新聞 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2d4bce7ecc18a9f1503d928442215c6e/master.m3u8
Now 財經 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/6fd9bf9917a15f4bb611ebab4e7373c9/master.m3u8
Now 直播 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/a6bfcd43b26d35b6839e7e00927f4d37/master.m3u8
Hoy資訊 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/35ddc2e2a41f20dd87759003eaa6ed22/master.m3u8
HoyTV HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/a0e00e72e0063a23b197b5877c9c04dd/master.m3u8
香港國際 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/168b522ed701b8617d3155b19ada9a01/master.m3u8
鳳凰中文 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/721a9cb7a9160c04018ff454d96e3e5b/master.m3u8
鳳凰資訊 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/6962576de51ac8508ee587851df80c91/master.m3u8
鳳凰香港 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/05d251651879c24fab214e587046ad62/master.m3u8
民視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/399c37b3c65920b44bd967c2d0870a09/master.m3u8
台視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ad13cd4527b8f83cdf8aba48c0a2c4bf/master.m3u8
中視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/164f084d72f99963ad313579936eb411/master.m3u8
中天新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/15f93e801354ec23261e3c21a4dfb1c6/master.m3u8
TVBS新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/c58d2adecef4a3367548a989d4ade391/master.m3u8
東森新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/e2f568162378c8866da7e75ad6cb3791/master.m3u8
環宇新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8597f1a9e2f637e2b49356aa3aa69be0/master.m3u8
壹電視新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2b625794a646ae54ebbcfe402d2550d0/master.m3u8
三立新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/d6674befb31257091c2a32801178cabe/master.m3u8
非凡新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/10f69dec4eb81a9b5b2b02a8febf1f79/master.m3u8
鏡新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/43ae0add70fd1bda16d0700282cd8d2d/master.m3u8
年代新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/aaddac84f4a4de6743d2eecfa4fdf525/master.m3u8
三立iNEWS,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/7721236535a265bed9a3e07ac8fe434b/master.m3u8
東森亞洲新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/e87f59b5adcc19149a6380c41ddb47af/master.m3u8
CNA News(MY SG 共用）,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/9d49e929fbdf4c4a0ae1c8b89e42afc0/master.m3u8
astro Awani,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/60627beacc1982bee937f478e98d80b3/master.m3u8
CCTV4(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/7d3f383ce4a6a8d8912aa5ddea9187e0/master.m3u8
CGTN(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/9a5d84098d5f466fb660126a1c1e413a/master.m3u8
CNN News(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/ad4ea004bee38ff324bab6a08a646ab7/master.m3u8
BBC World News(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/158d7489ac73ee03540f06187d829648/master.m3u8
Sky News(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/538ed16c24b72caa2a11f718f649186a/master.m3u8
DW News(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/057583eb11a7e8ab17336095273be216/master.m3u8
AlJazeera,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/3dd835da17017849816a5ef9de376a16/master.m3u8
CNBC News(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/63af2e28b2f2d64807dbb9c2ed27e206/master.m3u8
Euro News,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/11cf6faab1fd3876cd627ee3e311c9db/master.m3u8
Fox News,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/22c37a74f81e457952ba7f5aef92dca8/master.m3u8
CCTV-13 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/b436be97f63e570c1c082d1a7dbb12dc/master.m3u8
華視新聞 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/61c0aa25fb46aa9d395421509031c51c/master.m3u8
東森財經新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/f8a16638fdb1ba6c81251f0014a14243/master.m3u8
TV5 News,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2bb225f0ba9a58930757a868ed57d9a3/master.m3u8
Hongkong=香港_,#genre#
TVB 翡翠 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/3421f5eb10975742a75d3f42e1a9e848/master.m3u8
TVB Plus HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/7f132d501fb9863844ab51697900d494/master.m3u8
TVB 無線新聞,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/409eebbd5daba3009693e9c56a2b75c3/master.m3u8
TVB 明珠 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/39b1071182d7b6f681892eb987ad1057/master.m3u8
Now新聞 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2d4bce7ecc18a9f1503d928442215c6e/master.m3u8
Now 財經 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/6fd9bf9917a15f4bb611ebab4e7373c9/master.m3u8
Now 直播 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/a6bfcd43b26d35b6839e7e00927f4d37/master.m3u8
RTHK31,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/46dfc024334de6855d7181a10096bf9c/master.m3u8
RTHK32,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/4e5dc24b3e6c9cb8c5a6d51be930507b/master.m3u8
RTHK33,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/665c500a9ac6e2e80d7379307bbf648b/master.m3u8
ViuTV HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/c023187e5a2cac2dc9defbb158ad2072/master.m3u8
