河源有线,#genre#
CCTV5,http://ms.fxim.net:808/hls/5/index.m3u8
CCTV6,http://ms.fxim.net:808/hls/6/index.m3u8
CCTV7,http://ms.fxim.net:808/hls/7/index.m3u8
CCTV8,http://ms.fxim.net:808/hls/8/index.m3u8
CCTV9,http://ms.fxim.net:808/hls/9/index.m3u8
CCTV10,http://ms.fxim.net:808/hls/10/index.m3u8
CCTV11,http://ms.fxim.net:808/hls/11/index.m3u8
CCTV12,http://ms.fxim.net:808/hls/12/index.m3u8
CCTV5+,http://ms.fxim.net:808/hls/13/index.m3u8
浙江卫视,http://ms.fxim.net:808/hls/14/index.m3u8
浙江少儿,http://ms.fxim.net:808/hls/15/index.m3u8
江苏卫视,http://ms.fxim.net:808/hls/16/index.m3u8
东方卫视,http://ms.fxim.net:808/hls/17/index.m3u8
安徽卫视,http://ms.fxim.net:808/hls/18/index.m3u8
重庆卫视,http://ms.fxim.net:808/hls/19/index.m3u8
四川卫视,http://ms.fxim.net:808/hls/20/index.m3u8
天津卫视,http://ms.fxim.net:808/hls/21/index.m3u8
北京卫视,http://ms.fxim.net:808/hls/22/index.m3u8
青海卫视,http://ms.fxim.net:808/hls/23/index.m3u8
辽宁卫视,http://ms.fxim.net:808/hls/24/index.m3u8
江西卫视,http://ms.fxim.net:808/hls/25/index.m3u8
甘肃卫视,http://ms.fxim.net:808/hls/26/index.m3u8
广东卫视高清,http://ms.fxim.net:808/hls/27/index.m3u8
吉林卫视,http://ms.fxim.net:808/hls/28/index.m3u8
湖南卫视,http://ms.fxim.net:808/hls/29/index.m3u8
湖北卫视,http://ms.fxim.net:808/hls/30/index.m3u8
河北卫视,http://ms.fxim.net:808/hls/31/index.m3u8
河南卫视,http://ms.fxim.net:808/hls/32/index.m3u8

广东有线,#genre#
广东卫视,http://119.32.12.32:2901/udp/224.1.100.95:11111
广东卫视,http://119.32.12.32:2901/udp/224.1.100.96:11111
广东珠江,http://119.32.12.32:2901/udp/224.1.100.23:11111
广东珠江,http://119.32.12.32:2901/udp/224.1.100.24:11111
翡翠台,http://119.32.12.32:2901/udp/224.1.100.1:11111
翡翠台,http://119.32.12.32:2901/udp/224.1.100.121:11111
翡翠台,http://119.32.12.32:2901/udp/224.1.100.122:11111
明珠台,http://119.32.12.32:2901/udp/224.1.100.123:11111
明珠台,http://119.32.12.32:2901/udp/224.1.100.124:11111
明珠台,http://119.32.12.32:2901/udp/224.1.100.2:11111
凤凰中文,http://119.32.12.32:2901/udp/224.1.100.3:11111
广东民生,http://119.32.12.32:2901/udp/224.1.100.152:11111
广东新闻,http://119.32.12.32:2901/udp/224.1.100.5:11111
广东经济科教,http://119.32.12.32:2901/udp/224.1.100.6:11111
