Decoder=3
Host=http://45.205.24.2

央视,#genre#
CCTV 6,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000001737/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 6 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000004574/1.m3u8?channel-id=wasusyt&Contentid=6000000001000004574&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 6 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265006/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265006&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 7,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000024341/1.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 7 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000009055/1.m3u8?channel-id=wasusyt&Contentid=6000000001000009055&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 7 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265007/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265007&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 8,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000001070/1.m3u8?channel-id=wasusyt&Contentid=6000000001000001070&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 8 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000005000265008/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 9,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/1000000001000014583/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
CCTV 9 ,http://cache.ott.bestlive.itv.cmvideo.cn/000000001000/6000000001000032162/1.m3u8?channel-id=wasusyt&Contentid=6000000001000032162&livemode=1&stbId=b46e09c1b7970a800b84aa39a1a69080&AuthInfo=noqBT8QYJm4oQebYVv%2FImFnX168qN9QsqpQVhycht9OpGZiqRphJw3Sx7bneLs0e42a5%2BGLyJQuDuLglpEnRN8Ft8i20ffFrh3iPL%2Fy4Kww%3D
