央视ITV,#genre#
CCTV-6,http://111.29.9.33:6610/000000001000/0/6000000001000004574.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000004574$华数8M
CCTV-6,http://111.29.9.33:6610/000000001000/1/1000000001000001737.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000001737$易视腾8M
CCTV-6,http://111.29.9.33:6610/000000001000/1/5000000004000008886.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000008886$百视通6.8M
CCTV-6,http://111.29.9.33:6610/000000001000/1/1000000005000265006.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265006$易视腾HEVC
CCTV-6,http://111.29.9.33:6610/000000001000/1/5000000010000018433.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018433$百视通4M
CCTV-6,http://111.29.9.33:6610/000000001000/1/1000000001000016466.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000016466$易视腾4M
CCTV-7,http://111.29.9.33:6610/000000001000/0/6000000001000009055.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000009055$华数8M
CCTV-7,http://111.29.9.33:6610/000000001000/1/1000000001000024341.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000024341$易视腾8M
CCTV-7,http://111.29.9.33:6610/000000001000/1/5000000011000031104.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031104$百视通6.8M
CCTV-7,http://111.29.9.33:6610/000000001000/1/1000000005000265007.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265007$易视腾HEVC
CCTV-7,http://111.29.9.33:6610/000000001000/1/1000000001000017218.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000017218$易视腾4M
CCTV-7,http://111.29.9.33:6610/000000001000/1/5000000005000026715.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000026715$百视通4M
CCTV-8,http://111.29.9.33:6610/000000001000/0/6000000001000001070.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000001070$华数8M
CCTV-8,http://111.29.9.33:6610/000000001000/1/1000000001000031433.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000031433$易视腾8M
CCTV-8,http://111.29.9.33:6610/000000001000/1/5000000004000008888.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000008888$百视通6.8M
CCTV-8,http://111.29.9.33:6610/000000001000/1/1000000005000265008.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265008$易视腾HEVC
CCTV-8,http://111.29.9.33:6610/000000001000/1/5000000010000018377.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018377$百视通4M
CCTV-8,http://111.29.9.33:6610/000000001000/1/1000000001000003736.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000003736$易视腾4M
CCTV-9,http://111.29.9.33:6610/000000001000/0/6000000001000032162.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000032162$华数8M
CCTV-9,http://111.29.9.33:6610/000000001000/1/1000000001000014583.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000014583$易视腾8M
CCTV-9,http://111.29.9.33:6610/000000001000/1/1000000005000265009.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265009$易视腾HEVC
CCTV-9,http://111.29.9.33:6610/000000001000/1/5000000010000018384.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000018384$百视通4M
CCTV-9,http://111.29.9.33:6610/000000001000/1/1000000001000028286.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000028286$易视腾4M
CCTV-10,http://111.29.9.33:6610/000000001000/1/5000000004000012827.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000012827$百视通8M
CCTV-10,http://111.29.9.33:6610/000000001000/0/6000000001000031506.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000031506$华数8M
CCTV-10,http://111.29.9.33:6610/000000001000/1/1000000001000023734.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000023734$易视腾8M
CCTV-10,http://111.29.9.33:6610/000000001000/1/1000000005000265010.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265010$易视腾HEVC
CCTV-10,http://111.29.9.33:6610/000000001000/1/5000000010000016738.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000016738$百视通4M
CCTV-10,http://111.29.9.33:6610/000000001000/1/1000000001000026367.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000026367$易视腾4M
CCTV-11,http://111.29.9.33:6610/000000001000/1/5000000011000031106.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031106$百视通6.8M
CCTV-11,http://111.29.9.33:6610/000000001000/1/1000000005000265011.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265011$易视腾HEVC
CCTV-11,http://111.29.9.33:6610/000000001000/1/5000000006000040011.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000006000040011$百视通4M
CCTV-11,http://111.29.9.33:6610/000000001000/1/1000000002000019789.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000019789$易视腾4M
CCTV-12,http://111.29.9.33:6610/000000001000/0/6000000001000022586.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000022586$华数8M
CCTV-12,http://111.29.9.33:6610/000000001000/1/1000000001000032494.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000032494$易视腾8M
CCTV-12,http://111.29.9.33:6610/000000001000/1/5000000011000031107.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031107$百视通6.8M
CCTV-12,http://111.29.9.33:6610/000000001000/1/1000000005000265012.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265012$易视腾HEVC
CCTV-12,http://111.29.9.33:6610/000000001000/1/1000000001000001640.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000001640$易视腾4M
CCTV-12,http://111.29.9.33:6610/000000001000/1/5000000006000040012.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000006000040012$百视通4M
CCTV-13,http://111.29.9.33:6610/000000001000/1/5000000011000031108.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031108$百视通6.8M
CCTV-13,http://111.29.9.33:6610/000000001000/1/1000000005000265101.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265101$易视腾HEVC
CCTV-13,http://111.29.9.33:6610/000000001000/1/5000000005000001827.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000001827$百视通4M
CCTV-13,http://111.29.9.33:6610/000000001000/1/1000000002000021303.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000021303$易视腾4M
CCTV-14,http://111.29.9.33:6610/000000001000/1/5000000004000006673.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000006673$百视通8M
CCTV-14,http://111.29.9.33:6610/000000001000/0/6000000001000013647.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000013647$华数8M
CCTV-14,http://111.29.9.33:6610/000000001000/1/1000000001000008170.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000008170$易视腾8M
CCTV-14,http://111.29.9.33:6610/000000001000/1/1000000005000265013.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265013$易视腾HEVC
CCTV-14,http://111.29.9.33:6610/000000001000/1/5000000010000023358.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000023358$百视通4M
CCTV-14,http://111.29.9.33:6610/000000001000/1/1000000001000021349.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000021349$易视腾4M
CCTV-15,http://111.29.9.33:6610/000000001000/1/5000000011000031109.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031109$百视通6.8M
CCTV-15,http://111.29.9.33:6610/000000001000/1/1000000005000265014.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265014$易视腾HEVC
CCTV-15,http://111.29.9.33:6610/000000001000/1/1000000002000008163.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000002000008163$易视腾4M
CCTV-15,http://111.29.9.33:6610/000000001000/1/5000000005000018417.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000018417$百视通4M
CCTV-16,http://111.29.9.33:6610/000000001000/1/1000000006000233002.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000006000233002$易视腾8M
CCTV-16,http://111.29.9.33:6610/000000001000/1/5000000008000023253.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000008000023253$百视通6.8M
